ProductName,Price,ProductDescription,分類第一層,第二層,第三層
Bubble Chain Choker Necklace,$16.00,"""""You can never go wrong with a simple bubble chain necklace!</br>"14k Gold over Stainless Steel</br>"Measurements :</br>"32 cm./ 12.5 in</br>"Extension Chain: 38.5 cm./ 15.1 in</br>",Home,Necklaces,Bubble Chain Choker Necklace
Multi Layered Coin Pendant Necklace,$24.00,""""""""Layered chains and gold pendants make for a fresh look!</br>"14k Gold over Stainless Steel</br>"Measurements :</br>"Top Chain : 38.5 cm / 15 in</br>"Middle Chain : 39 cm./ 15.3 in</br>"Bottom Chain : 43.5 cm / 17.1 in</br>"Small Pendant: 1 cm / 0.39 in</br>"Larger Pendant: 3 cm / 1.2 in</br>",Home,Necklaces,Multi Layered Coin Pendant Necklace
Petal Pendant Layered Necklace,$20.00,""""""""These beautiful golden petals won't wither away!</br>"14k Gold over Stainless Steel</br>"Measurements:</br>"Top Chain : 42 cm. / 16.9 in</br>"Bottom Chain : 45 cm . / 17.7 inch</br>"Extension Chain : 50 cm. / 19.6 . inch</br>"Pendant: 3 cm. / 1.2 in</br>"Smaller Pendant: 1.5 . cm. / 0.6 in</br>",Home,Necklaces,Petal Pendant Layered Necklace
Gold Beaded Chain Necklace,$18.00,"""""A gold beaded long necklace with a simple yet girly flair!</br>"14k Gold over Stainless Steel</br>"Measurements:</br>"48 cm. / 18.8 in.</br>"Extension Chain: 53 cm. / 20.8 in.</br>",Home,Necklaces,Gold Beaded Chain Necklace
Plain Chain Necklace,$16.00,""""This thick gold chain necklace is a closet staple that will complete any outfit!</br>"14k Gold over Stainless Steel</br>"Measurements:</br>"Length: 12.2 cm / 4.8 in Extension Chain: 15.2 cm / 5.98 in</br>",Home,Necklaces,Plain Chain Necklace
Oval Layered Necklace,$20.00,"""""""This two layered thick gold chain necklace is the perfect addition to a simple outfit!</br>"14k Gold over Stainless Steel</br>"Measurements:</br>"Top Chain : 38 cm. / 14.96 in</br>"Bottom Chain : 47 cm. / 18.5 in</br>"Extension Chain : 6.5 cm. / 2.55 in</br>"Pendant : 1.5 cm x 0.9 cm / 0.35 in</br>",Home,Necklaces,Oval Layered Necklace
Gold Rush Layered Necklace (14K),$20.00,"""""This five layer thin gold chain necklace is cute and stylish, great for adding texture and movement to your neck!</br>"‧ 14K Gold over Stainless Steel</br>"Measurements:</br>"‧ Length: 14 in. / 35.5 cm.</br>"‧ Extension: 2.3 in. / 6 cm.</br>",Home,Necklaces,Gold Rush Layered Necklace (14K)
Modern Mini Bar Necklace (14K),$16.00,"""""The perfect piece of minimalist jewelry! A small gold bar that pairs well with absolutely anything.</br>"‧ 14K Gold over Stainless Steel</br>"Measurements:</br>"‧ Length: 15.5 in. / 39 cm.</br>"‧ Extension: 2.5 in. / 6.3 cm.</br>",Home,Necklaces,Modern Mini Bar Necklace (14K)
Under the Sea Necklace (14K),$18.00,"""""Rustic pearl and gold necklace, with a unique textured oval pendant!</br>"‧ 14K Gold over Sterling Silver</br>"Measurements:</br>"‧ Length: 15.5 in. / 39 cm.</br>"‧ Extension: 2.3 in. / 6 cm.</br>",Home,Necklaces,Under the Sea Necklace (14K)
Once Upon a Chain Necklace (14K),$16.00,"""""A thin gold chain with a larger chain design in the middle, super simple super cute!</br>"‧ 14K Gold over Sterling Silver</br>"Measurements:</br>"‧ Length: 16.5 in. / 41.9 cm.</br>"‧ Extension: 2.5 in. / 6.3 cm.</br>",Home,Necklaces,Once Upon a Chain Necklace (14K)
Brightest in the Sky Necklace (14K),$28.00,"""This round gold pendant has a beautiful shining star right in the middle, making it the brightest necklace around!</br>"‧ 14K Gold over Sterling Silver</br>"Measurements:</br>",Home,Necklaces,Brightest in the Sky Necklace (14K)
One with the Sun Necklace (18K),$28.00,"""""A delicate gold chain and a round pendant attached, with a sun engraved.</br>"‧ 18K Gold over Sterling Silver</br>"Measurements: ‧ Length: 15 in. / 38 cm.</br>"‧ Extension: 2 in. / 5.1 cm.</br>"‧ Pendant: .4 in. / 1.1 cm.</br>",Home,Necklaces,One with the Sun Necklace (18K)
Chain of Hearts Necklace (18K),$30.00,"""""Beautiful gold chain connected with outlined gold hearts! Simple and lovely.</br>"‧ 18K Gold over Sterling Silver</br>"Measurements:</br>"‧ Length: 14 in. / 35.5 cm.</br>"‧</br>",Home,Necklaces,Chain of Hearts Necklace (18K)
Simple Gold Chain Choker (14K),$28.00,"""""Gold chain linked choker style necklace, a great piece for layering!</br>"‧ 14K Gold over Sterling Silver</br>"Measurements:</br>"‧ Length: 15.5 in. / 39 cm.</br>"‧ Extension: 1.5 in. / 3.8 cm.</br>",Home,Necklaces,Simple Gold Chain Choker (14K)
Single Stone Necklace (14K),$32.00,"""""A staple piece that you need in your collection! A simple gold chained necklace with a single stone attached.</br>"‧ 14K Gold over Sterling Silver</br>"Measurements:</br>"‧ Length: 15.5 in. / 39 cm.</br>"‧ Extension: 1.5 in. / 3.8 cm.</br>",Home,Necklaces,Single Stone Necklace (14K)
